Time [s],Value
0.2826980020,0x186
0.2827083460,0x185
0.2827186880,0x184
0.2827290320,0x183
0.2827393760,0x182
0.2827497200,0x181
0.2827600620,0x180
0.2827704100,0x17F
0.2827807500,0x17E
0.2827910920,0x17D
0.2828014360,0x17C
0.2828117800,0x17B
0.2828221240,0x17A
0.2828324660,0x179
0.2828428100,0x178
0.2828531540,0x177
0.2828634960,0x176
0.2828738400,0x175
0.2828841840,0x174
0.2828945280,0x173
0.2829048700,0x172
0.2829152140,0x171
0.2829255560,0x170
0.2829359020,0x16F
0.2829462440,0x16E
0.2829565880,0x16D
0.2829669320,0x16C
0.2829772740,0x16B
0.2829876180,0x16A
0.2829979600,0x169
0.2830083040,0x168
0.2830186480,0x167
0.2830289920,0x166
0.2830393340,0x165
0.2830496780,0x164
0.2830600220,0x163
0.2830703660,0x162
0.2830807080,0x161
0.2830910520,0x160
0.2831013980,0x15F
0.2831117380,0x15E
0.2831220820,0x15D
0.2831324260,0x15C
0.2831427700,0x15B
0.2831531120,0x15A
0.2831634560,0x159
0.2831738000,0x158
0.2831841440,0x157
0.2831944860,0x156
0.2832048300,0x155
0.2832151740,0x154
0.2832255160,0x153
0.2832358600,0x152
0.2832462040,0x151
0.2832565460,0x150
0.2832668920,0x14F
0.2832772340,0x14E
0.2832875780,0x14D
0.2832979200,0x14C
0.2833082640,0x14B
0.2833186060,0x14A
0.2833289500,0x149
0.2833392940,0x148
0.2833496380,0x147
0.2833599800,0x146
0.2833703240,0x145
0.2833806680,0x144
0.2833910120,0x143
0.2834013560,0x142
0.2834116980,0x141
0.2834220420,0x140
0.2834323880,0x13F
0.2834427280,0x13E
0.2834530720,0x13D
0.2834634140,0x13C
0.2834737580,0x13B
0.2834841020,0x13A
0.2834944460,0x139
0.2835047880,0x138
0.2835151340,0x137
0.2835254760,0x136
0.2835358200,0x135
0.2835461620,0x134
0.2835565060,0x133
0.2835668500,0x132
0.2835771920,0x131
0.2835875360,0x130
0.2835978800,0x12F
0.2836082240,0x12E
0.2836185660,0x12D
0.2836289100,0x12C
0.2836392540,0x12B
0.2836495960,0x12A
0.2836599400,0x129
0.2836702840,0x128
0.2836806280,0x127
0.2836909700,0x126
0.2837013140,0x125
0.2837116580,0x124
0.2837220020,0x123
0.2837323440,0x122
0.2837426880,0x121
0.2837530300,0x120
0.2837633760,0x11F
0.2837737180,0x11E
0.2837840600,0x11D
0.2837944040,0x11C
0.2838047480,0x11B
0.2838150920,0x11A
0.2838254340,0x119
0.2838357780,0x118
0.2838461220,0x117
0.2838564640,0x116
0.2838668080,0x115
0.2838771520,0x114
0.2838874960,0x113
0.2838978380,0x112
0.2839081820,0x111
0.2839185260,0x110
0.2839288700,0x10F
0.2839392120,0x10E
0.2839495560,0x10D
0.2839598980,0x10C
0.2839702420,0x10B
0.2839805860,0x10A
0.2839909280,0x109
0.2840012720,0x108
0.2840116160,0x107
0.2840219600,0x106
0.2840323020,0x105
0.2840426460,0x104
0.2840529900,0x103
0.2840633340,0x102
0.2840736760,0x101
0.2840840200,0x100
0.2840943680,0x0FF
0.2841047060,0x0FE
0.2841150500,0x0FD
0.2841253940,0x0FC
0.2841357380,0x0FB
0.2841460800,0x0FA
0.2841564240,0x0F9
0.2841667680,0x0F8
0.2841771120,0x0F7
0.2841874540,0x0F6
0.2841977980,0x0F5
0.2842081420,0x0F4
0.2842184840,0x0F3
0.2842288280,0x0F2
0.2842391720,0x0F1
0.2842495160,0x0F0
0.2842598600,0x0EF
0.2842702020,0x0EE
0.2842805460,0x0ED
0.2842908880,0x0EC
0.2843012320,0x0EB
0.2843115760,0x0EA
0.2843219180,0x0E9
0.2843322620,0x0E8
0.2843426060,0x0E7
0.2843529500,0x0E6
0.2843632920,0x0E5
0.2843736360,0x0E4
0.2843839800,0x0E3
0.2843943220,0x0E2
0.2844046660,0x0E1
0.2844150100,0x0E0
0.2844253540,0x0DF
0.2844356960,0x0DE
0.2844460400,0x0DD
0.2844563840,0x0DC
0.2844667280,0x0DB
0.2844770700,0x0DA
